playerName,spanLabel,primaryPosition,displayTAL,realTAL,otalGrade,dtalGrade,fga
Michael Jordan,1988-90,SG,98,98,S,S,23.1
LeBron James,2008-10,SF,98,98,A,A,20
Larry Bird,1985-87,SF,97,97,A-,A-,21.3
Hakeem Olajuwon,1992-94,C,97,97,B,S,20.4
Stephen Curry,2014-16,PG,97,97,S,B-,18.5
Nikola Jokic,2023-25,C,97,97,S,D-,17.4
Shai Gilgeous-Alexander,2024-26,PG,97,97,A,A,20.7
Magic Johnson,1988-90,PG,96,96,A,B-,14.6
David Robinson,1990-92,C,96,96,C+,S,17.5
Tim Duncan,2001-03,PF,96,96,B,S,17.8
Kevin Garnett,2002-04,PF,96,96,B,A+,18.5
Kevin Durant,2012-14,SF,96,96,S,D,19.3
Giannis Antetokounmpo,2020-22,PF,96,96,B+,A,19.5
Joel Embiid,2023-25,C,96,96,A-,B-,20.1
Anthony Davis,2018-20,PF,96,96,B-,A+,18
Victor Wembanyama,2024-26,PF,94,94,C+,S,17.6
