name,position,peak_talent,portability
Gilbert Arenas,PG,81,54
Trae Young,PG,80,38
Allen Iverson,PG,79,47
Tiny Archibald,PG,79,39
Tim Hardaway,PG,78,51
John Wall,PG,78,44
Bob Lanier,C,77,74
Baron Davis,PG,76,42
Alex English,SF,76,53
Fat Lever,PG,76,48
Isaiah Thomas,PG,76,42
Moses Malone,C,75,73
Grant Hill,SF,74,50
Vince Carter,SF,74,81
Zach LaVine,SF,74,61
Jamal Murray,PG,73,57
Glen Rice,SF,73,49
Jerry West,PG,72,57
Ron Artest,SF,72,48
LaMarcus Aldridge,PF,72,71
Devin Booker,PG,72,41
George Gervin,SF,72,60
Stephon Marbury,PG,72,50
Mitch Richmond,SG,72,60
Victor Oladipo,SG,71,48
Jermaine O'Neal,PF,71,67
Tony Parker,PG,71,37
Michael Ray Richardson,PG,71,43
Derrick Rose,PG,71,33
Josh Smith,PF,71,72
Amar'e Stoudemire,C,71,82
Elgin Baylor,SF,70,51
Rick Barry,SF,70,50
Brad Daugherty,C,70,78
Darius Garland,PG,70,53
Bernard King,SF,70,55
Khris Middleton,SF,70,43
Paul Millsap,PF,70,72
Alvin Robertson,SG,70,44
Dominique Wilkins,SF,70,54
Caron Butler,SG,69,51
Cade Cunningham,PG,69,45
Walter Davis,SF,69,55
Anthony Edwards,SG,69,56
Pervis Ellison,C,69,70
Elvin Hayes,PF,69,73
Tyrese Maxey,PG,69,47
Domantas Sabonis,C,69,74
Rod Strickland,PG,69,55
Shareef Abdur-Rahim,SF,68,39
Carmelo Anthony,PF,68,72
Danny Granger,SF,68,55
Derek Harper,PG,68,76
Antonio McDyess,PF,68,76
Jeff Ruland,C,68,76
Jason Terry,PG,68,80
Kiki Vandeweghe,PF,68,66
Kemba Walker,PG,68,54
Mark Aguirre,SF,67,38
LaMelo Ball,PG,67,47
Bradley Beal,SG,67,48
Terrell Brandon,PG,67,50
Derrick Coleman,PF,67,69
Danilo Gallinari,SF,67,51
Blake Griffin,PF,67,60
Danny Manning,PF,67,74
Kevin Martin,SG,67,59
Dražen Petrović,SG,67,60
Danny Ainge,SG,66,83
DeMar DeRozan,SF,66,39
Tom Gugliotta,PF,66,67
Sidney Moncrief,SG,66,76
Ja Morant,PG,65,44
Ed Macauley,C,65,67
Antoine Walker,PF,65,62
Larry Hughes,SG,64,43
Michael Redd,SG,64,59
Tyler Herro,SG,63,38
Neil Johnston,C,63,79
John Havlicek,SF,62,48
Walt Frazier,PG,62,63
John Collins,PF,62,89
Kevin Love,PF,62,86
Bob Pettit,PF,62,78
Kenyon Martin,PF,61,68
Bill Russell,C,50,71
Marcus Smart,PG,49,64
Michael Cage,PF,49,71
Avery Bradley,SG,41,75
Luke Walton,SF,41,54
Kurt Rambis,PF,40,56
P.J. Tucker,SF,39,77
Alton Lister,C,38,66
Walter McCarty,SF,38,70
Udonis Haslem,PF,37,73
Larry Smith,PF,37,69
Andre Roberson,SF,36,64
Garrett Temple,SG,35,77
Jan van Breda Kolff,SF,35,68
David Wingate,SG,35,72
Michael Curry,SG,34,61
Alvin Scott,SF,33,56
Adrian Griffin,SG,32,66
Tyler Hansbrough,PF,32,53
Jarron Collins,C,30,52
Johnny High,PG,30,64
Reggie Evans,PF,29,51
Lance Thomas,PF,29,59
James Singleton,SF,27,58
