name,position,talent,portability,fga,archetype,defensive_role,best_span,tier
Joe Ingles,SF,54,91,7.1,Stationary Shooter,Chaser,2016-18,low_fga
Mario Elie,SF,58,90,7.7,Stationary Shooter,Chaser,1995-97,low_fga
Mikal Bridges,SF,53,88,8,Stationary Shooter,Chaser,2019-21,low_fga
Mario Chalmers,PG,52,88,7.3,Off Screen Shooter,Chaser,2011-13,low_fga
Devin Harris,PG,51,87,8.1,Off Screen Shooter,Chaser,2011-13,low_fga
Steve Novak,SF,49,87,5.7,Stationary Shooter,Low Activity,2011-13,low_fga
Alex Caruso,SG,50,86,6,Off Screen Shooter,Wing Stopper,2022-24,low_fga
Al Horford,C,50,85,7,Stretch Big,Mobile Big,2022-24,low_fga
Steve Kerr,PG,54,85,5.8,Off Screen Shooter,Helper,1995-97,low_fga
Bryon Russell,SF,47,85,7,Stationary Shooter,Chaser,1996-98,low_fga
Thomas Bryant,C,45,84,7.8,Versatile Big,Mobile Big,2018-20,low_fga
Herbert Jones,SF,51,84,7.7,Stationary Shooter,Chaser,2022-24,low_fga
Charlie Ward,PG,48,83,6.2,Off Screen Shooter,Chaser,1999-01,low_fga
Robert Williams,C,53,83,5.5,Roll & Cut Big,Anchor Big,2020-22,low_fga
Josh Childress,SF,50,82,7.9,Athletic Finisher,Chaser,2005-07,low_fga
Luke Kennard,SG,52,82,7.9,Off Screen Shooter,Low Activity,2021-23,low_fga
Buck Williams,PF,47,82,7.2,Roll & Cut Big,Mobile Big,1990-92,low_fga
Grayson Allen,SG,57,81,8.4,Off Screen Shooter,Helper,2023-25,low_fga
Daniel Gafford,C,48,81,5.8,Roll & Cut Big,Mobile Big,2022-24,low_fga
James Posey,SG,49,80,8.5,Secondary Ball Handler,Chaser,2003-05,low_fga
Mitchell Robinson,C,46,80,5,Roll & Cut Big,Anchor Big,2018-20,low_fga
Rafer Alston,PG,45,79,8.5,Off Screen Shooter,Chaser,2002-04,low_fga
Brandon Clarke,PF,45,79,6.6,Roll & Cut Big,Mobile Big,2021-23,low_fga
Hubert Davis,SG,52,79,7.6,Off Screen Shooter,Low Activity,1994-96,low_fga
Dāvis Bertāns,PF,49,78,8.2,Stretch Big,Low Activity,2018-20,low_fga
Seth Curry,SG,49,78,7.5,Off Screen Shooter,Low Activity,2018-20,low_fga
Sam Hauser,SF,45,78,6.9,Stationary Shooter,Low Activity,2023-25,low_fga
Nic Claxton,C,50,77,6.9,Roll & Cut Big,Anchor Big,2021-23,low_fga
Dewayne Dedmon,C,45,77,8,Stretch Big,Mobile Big,2017-19,low_fga
Craig Hodges,SG,45,76,6.2,Off Screen Shooter,Low Activity,1988-90,low_fga
Isaiah Joe,SG,48,76,7.8,Off Screen Shooter,Low Activity,2024-26,low_fga
Damon Jones,PG,56,76,7.6,Off Screen Shooter,Low Activity,2003-05,low_fga
Šarūnas Marčiulionis,SG,45,76,7.4,Athletic Finisher,Chaser,1989-91,low_fga
Nerlens Noel,C,45,76,3.9,Roll & Cut Big,Anchor Big,2019-21,low_fga
Earl Watson,PG,45,76,8.1,Off Screen Shooter,Chaser,2005-07,low_fga
David Wesley,PG,53,76,7.9,Athletic Finisher,Chaser,1994-96,low_fga
Ivica Zubac,C,45,76,6,Roll & Cut Big,Mobile Big,2020-22,low_fga
D.J. Augustin,PG,55,75,7.8,Off Screen Shooter,Low Activity,2017-19,low_fga
Marco Belinelli,SF,48,75,8.2,Stationary Shooter,Low Activity,2013-15,low_fga
Kenneth Faried,PF,46,75,7.9,Roll & Cut Big,Mobile Big,2011-13,low_fga
A.J. Green,SG,45,75,6.9,Off Screen Shooter,Low Activity,2024-26,low_fga
Tyrone Hill,C,46,75,7.7,Roll & Cut Big,Mobile Big,1996-98,low_fga
Patty Mills,PG,45,75,6.5,Off Screen Shooter,Low Activity,2012-14,low_fga
Martell Webster,SF,51,75,7.9,Stationary Shooter,Low Activity,2012-14,low_fga
P.J. Brown,C,46,74,7.1,Roll & Cut Big,Mobile Big,2001-03,low_fga
Jared Dudley,SF,49,74,6.8,Stationary Shooter,Helper,2009-11,low_fga
Richard Jefferson,SF,50,74,7.8,Stationary Shooter,Low Activity,2010-12,low_fga
Oliver Miller,C,48,74,6.6,Roll & Cut Big,Anchor Big,1993-95,low_fga
Elliot Perry,PG,48,74,7,Athletic Finisher,Chaser,1994-96,low_fga
Travis Best,PG,50,73,8.5,Secondary Ball Handler,Chaser,1999-01,low_fga
Bryn Forbes,SG,45,73,8.3,Off Screen Shooter,Low Activity,2019-21,low_fga
Trey Murphy III,SF,47,73,7.6,Stationary Shooter,Helper,2021-23,low_fga
Theo Ratliff,PF,57,73,8.5,Roll & Cut Big,Anchor Big,1998-00,low_fga
Allen Crabbe,SG,45,72,8.3,Off Screen Shooter,Low Activity,2015-17,low_fga
Mark Jackson,PG,60,72,8,Secondary Ball Handler,Chaser,1995-97,low_fga
Muggsy Bogues,PG,47,71,6.1,Secondary Ball Handler,Chaser,1996-98,low_fga
Shawn Bradley,C,45,71,4,Roll & Cut Big,Mobile Big,2001-03,low_fga
Dale Davis,PF,45,71,7.7,Roll & Cut Big,Mobile Big,1994-96,low_fga
Terry Dehere,PG,49,71,6.9,Off Screen Shooter,Low Activity,1995-97,low_fga
Walker Kessler,C,45,71,6.3,Roll & Cut Big,Anchor Big,2023-25,low_fga
Matt Maloney,PG,48,71,7.5,Off Screen Shooter,Helper,1996-98,low_fga
George McCloud,SF,48,71,7.6,Stationary Shooter,Low Activity,1998-00,low_fga
Gary Neal,SG,45,71,8.2,Off Screen Shooter,Low Activity,2010-12,low_fga
Chris Whitney,PG,51,71,8,Off Screen Shooter,Helper,2000-02,low_fga
Kyle Anderson,SF,45,70,6.1,Athletic Finisher,Chaser,2017-19,low_fga
Marcus Camby,PF,49,70,7.3,Roll & Cut Big,Anchor Big,2008-10,low_fga
Erick Dampier,C,45,70,7.6,Roll & Cut Big,Mobile Big,2003-05,low_fga
Andre Drummond,C,51,70,7.9,Roll & Cut Big,Mobile Big,2012-14,low_fga
Avery Johnson,PG,48,70,7.9,Secondary Ball Handler,Chaser,1992-94,low_fga
Robin Lopez,C,45,70,7.7,Roll & Cut Big,Mobile Big,2013-15,low_fga
Nate McMillan,PG,53,70,5.9,Secondary Ball Handler,Point of Attack,1992-94,low_fga
Kendrick Perkins,C,47,70,5.4,Roll & Cut Big,Mobile Big,2007-09,low_fga
Steve Blake,PG,49,69,7.8,Off Screen Shooter,Helper,2008-10,low_fga
Andrew Bogut,C,51,69,5.4,Roll & Cut Big,Mobile Big,2013-15,low_fga
Gorgui Dieng,C,45,69,7,Roll & Cut Big,Mobile Big,2014-16,low_fga
Luther Head,SG,45,69,8.3,Off Screen Shooter,Helper,2005-07,low_fga
Robert Pack,PG,46,69,7.8,Athletic Finisher,Chaser,1992-94,low_fga
Greg Anthony,PG,45,68,8.3,Secondary Ball Handler,Chaser,1994-96,low_fga
Samuel Dalembert,C,46,68,6.9,Roll & Cut Big,Anchor Big,2005-07,low_fga
Isaiah Hartenstein,C,48,68,6.4,Roll & Cut Big,Mobile Big,2023-25,low_fga
Brevin Knight,PG,61,68,7.6,Secondary Ball Handler,Point of Attack,1997-99,low_fga
Tomáš Satoranský,PG,47,67,6,Athletic Finisher,Helper,2017-19,low_fga
