name,position,talent,residual,real_value,best_span,in_pool
Terry Mills,PF,42,5.83,5.81,1996-98,false
Christian Laettner,PF,59,5.78,7.22,1995-97,false
Tim Duncan,PF,80,5.22,8.93,2005-07,true
Tim Hardaway,PG,66,4.82,6.87,1995-97,true
Kevin Garnett,C,42,4.77,4.87,2012-14,true
LeBron James,SF,92,4.38,9.22,2014-16,true
Dirk Nowitzki,PF,56,4.36,5.79,2011-13,true
Taj Gibson,PF,40,4.34,4.25,2011-13,false
Robert Horry,PF,45,4.32,4.71,1998-00,true
Nate McMillan,PG,50,4.32,4.98,1993-95,false
Kevin Willis,PF,42,4.28,4.26,1993-95,false
Andre Iguodala,SF,49,4.26,5.03,2013-15,true
Lamar Odom,PF,52,4.04,5.10,2008-10,false
Danny Green,SG,52,3.97,5.02,2014-16,true
Ron Artest,SF,46,3.92,4.25,2008-10,true
Stephen Curry,PG,91,3.92,8.67,2016-18,true
Mookie Blaylock,PG,51,3.90,4.86,1997-99,true
Manu Ginóbili,SG,51,3.87,4.83,2013-15,true
Draymond Green,PF,67,3.87,6.34,2015-17,true
Greg Ostertag,C,42,3.63,3.74,1996-98,true
Tony Allen,SG,41,3.57,3.58,2012-14,true
Ron Harper,PG,43,3.54,3.74,1996-98,true
Horace Grant,PF,53,3.53,4.46,1994-96,false
Vlade Divac,C,55,3.53,4.87,2001-03,true
Chris Paul,PG,83,3.51,7.50,2017-19,true
Scottie Pippen,SF,73,3.46,6.11,1995-97,true
Dikembe Mutombo,C,62,3.43,5.43,1998-00,true
Nikola Jokic,C,68,3.43,6.00,2017-19,true
Dennis Rodman,PF,40,3.43,3.24,1993-95,true
David Robinson,C,92,3.42,7.70,1994-96,true
Kobe Bryant,SG,68,3.33,5.90,2008-10,true
Matt Bonner,PF,42,3.33,3.43,2010-12,false
Toni Kukoč,SF,56,3.32,4.51,1995-97,false
Amir Johnson,PF,50,3.26,4.12,2013-15,true
Bryon Russell,SF,42,3.25,3.23,1995-97,false
Rasheed Wallace,PF,56,3.22,4.66,2003-05,true
Shawn Bradley,C,44,3.14,3.44,2000-02,false
Dwyane Wade,SG,69,3.12,5.78,2010-12,true
Brad Miller,C,52,3.12,4.17,2005-07,true
LaMarcus Aldridge,PF,48,3.09,3.76,2008-10,true
Kevin Love,PF,50,3.09,3.95,2014-16,true
Russell Westbrook,PG,77,3.08,6.50,2017-19,true
Ben Wallace,C,53,3.07,4.22,2004-06,true
Blake Griffin,PF,62,3.03,5.03,2011-13,true
Vince Carter,SG,42,2.98,3.08,2010-12,true
Doug Christie,SG,59,2.97,4.69,2001-03,true
Bo Outlaw,PF,61,2.96,4.87,1996-98,true
Chris Bosh,C,60,2.96,4.77,2007-09,true
Shane Battier,SF,56,2.94,4.37,2004-06,true
J.R. Smith,SG,48,2.93,3.42,2008-10,false
Eric Bledsoe,SG,47,2.92,3.50,2019-21,true
Sam Perkins,C,41,2.92,2.81,1994-96,false
Patrick Beverley,PG,43,2.89,3.08,2013-15,true
Bobby Jones,PF,44,2.87,3.02,1982-84,true
C.J. Miles,SG,40,2.86,2.67,2013-15,false
Stacey Augmon,SG,49,2.84,3.42,1992-94,true
Travis Best,PG,40,2.81,2.62,1995-97,false
Rashard Lewis,PF,44,2.80,3.10,2009-11,false
Michael Jordan,SG,87,2.79,6.64,1996-98,true
Derrick McKey,SF,48,2.78,3.28,1994-96,false
Josh Howard,SF,45,2.75,3.14,2007-09,false
Jason Kidd,PG,74,2.74,5.47,2004-06,true
Tayshaun Prince,SF,46,2.72,3.21,2006-08,false
Jae Crowder,SF,44,2.70,2.99,2016-18,false
Eddie Jones,SG,41,2.67,2.68,2005-07,true
Moses Malone,C,62,2.67,4.37,1981-83,true
Shaquille O'Neal,C,77,2.66,6.08,2004-06,true
Khalid Reeves,PG,42,2.66,2.64,1994-96,false
Gheorghe Mureșan,C,49,2.62,3.21,1995-97,false
Donovan Mitchell,SG,66,2.62,5.00,2024-26,true
Reggie Williams,SF,45,2.60,2.84,1992-94,false
Tracy McGrady,SG,55,2.59,3.92,2006-08,true
Joe Smith,C,41,2.58,2.59,2001-03,false
Steve Kerr,PG,40,2.56,2.37,1992-94,false
Mike Conley,PG,61,2.54,4.44,2013-15,true
Arvydas Sabonis,C,52,2.52,3.57,1998-00,false
Baron Davis,PG,64,2.52,4.71,2005-07,true
Nick Anderson,SG,45,2.50,2.89,1996-98,false
Metta World Peace,SF,41,2.49,2.50,2009-11,true
Cody Zeller,C,41,2.49,2.50,2018-20,false
Anfernee Hardaway,PG,79,2.49,5.65,1994-96,true
Jeff Hornacek,SG,64,2.48,4.36,1995-97,true
P.J. Brown,C,44,2.46,2.76,2000-02,false
Tyrone Hill,C,41,2.45,2.34,1995-97,false
Otis Thorpe,PF,46,2.45,2.77,1994-96,false
Brendan Haywood,C,43,2.42,2.62,2004-06,false
Jerome Williams,PF,41,2.41,2.42,1998-00,false
Roy Hibbert,C,43,2.41,2.61,2012-14,false
Kyle Korver,SG,58,2.41,4.03,2014-16,true
Chris Mills,SF,44,2.40,2.69,1996-98,false
Thaddeus Young,PF,42,2.35,2.45,2010-12,false
Kawhi Leonard,SF,87,2.33,6.70,2015-17,true
Ricky Rubio,PG,48,2.33,3.00,2019-21,true
Brook Lopez,C,43,2.30,2.50,2019-21,false
Antawn Jamison,PF,46,2.30,2.78,2006-08,false
Klay Thompson,SG,61,2.29,4.19,2015-17,true
Paul Pierce,SF,69,2.28,4.95,2007-09,true
Chris Andersen,C,40,2.28,2.20,2013-15,true
Anderson Varejão,PF,48,2.27,2.94,2008-10,false
Serge Ibaka,PF,51,2.26,3.22,2014-16,true
Giannis Antetokounmpo,PF,91,2.25,7.00,2019-21,true
Danny Manning,PF,44,2.25,2.54,1997-99,true
Matt Barnes,SF,43,2.25,2.45,2013-15,false
Clyde Drexler,SG,63,2.20,3.99,1996-98,true
Nikola Mirotić,PF,40,2.20,2.11,2016-18,false
Luol Deng,SF,49,2.19,2.96,2012-14,false
Paul George,PF,60,2.19,4.00,2023-25,true
Jared Dudley,PF,41,2.18,2.19,2014-16,false
George Hill,PG,53,2.18,3.32,2013-15,false
Mike Dunleavy,SF,46,2.15,2.64,2013-15,false
Jayson Tatum,SF,71,2.15,5.00,2023-25,true
Tiago Splitter,PF,48,2.14,2.82,2012-14,false
George Lynch,SF,41,2.14,2.15,1998-00,false
Steven Adams,C,50,2.14,3.00,2018-20,false
Rik Smits,C,46,2.13,2.61,1997-99,false
Karl Malone,PF,78,2.12,5.20,1995-97,true
Kentavious Caldwell-Pope,SG,40,2.08,2.00,2023-25,false
James Harden,PG,77,2.08,5.50,2020-22,true
Andrei Kirilenko,PF,58,2.07,3.69,2008-10,true
Shawn Marion,SF,45,2.07,2.46,2008-10,true
John Stockton,PG,83,2.04,6.03,1999-01,true
Kenyon Martin,PF,51,2.03,2.99,2001-03,true
David West,PF,44,2.02,2.31,2013-15,false
Speedy Claxton,PG,46,2.01,2.50,2004-06,false
Zach Randolph,PF,41,2.01,2.02,2013-15,false
Steve Nash,PG,87,2.00,6.37,2007-09,true
Danny Granger,SF,57,1.99,3.52,2010-12,true
Isaiah Hartenstein,C,41,1.99,2.00,2022-24,false
Nenê,PF,41,1.99,2.00,2013-15,true
Hakeem Olajuwon,C,44,1.98,2.27,2000-02,true
Alonzo Mourning,C,82,1.97,5.87,1996-98,true
Earl Watson,PG,48,1.97,2.65,2004-06,false
